metric,class,count,mean,median,std,q25,q75,iqr
diff_r_min,motorway,18.0,59093747.23827898,63489962.736823134,14137590.580909329,56934166.38386539,67781274.00987652,10847107.626011126
diff_kappa_max,motorway,18.0,-0.011324274780139252,-0.006043837197858756,0.01519403520386345,-0.012377325909427419,-0.002598316462444173,0.009779009446983246
alat50_diff,motorway,18.0,-4.289987223099586,-2.09946519325113,4.312733183119097,-6.200583242170864,-1.2133014599876932,4.987281782183171
alat80_diff,motorway,18.0,-10.98236729113494,-5.374630894722892,11.04059694878489,-15.873493099957411,-3.106051737568494,12.767441362388917
alat110_diff,motorway,18.0,-20.763538159801996,-10.161411535335468,20.873628606296425,-30.010822892106976,-5.872379066340433,24.138443825766544
diff_r_min,primary,200.0,49889191.667838365,54556895.92389469,19024763.73427861,37031886.550369635,67021147.02347408,29989260.473104447
diff_kappa_max,primary,200.0,-0.01879547455105918,-0.013960202971519588,0.015868792711640073,-0.028913368636233186,-0.006517373350582717,0.02239599528565047
alat50_diff,primary,200.0,-6.480019549266665,-5.73468832521044,4.514256294918823,-11.334514565202996,-2.433793587420035,8.90072097778296
alat80_diff,primary,200.0,-16.588850046122662,-14.680802112538725,11.556496114992186,-29.016357286919668,-6.23051158379529,22.785845703124377
alat110_diff,primary,200.0,-31.363294618450656,-27.75589149401852,21.8490004674071,-54.859050495582494,-11.779560963112967,43.07948953246952
diff_r_min,residential,1896.0,50482118.2503575,53834186.08223811,18281433.17961385,36740287.28166301,67131852.38401347,30391565.102350466
diff_kappa_max,residential,1896.0,-0.021611244603133604,-0.017394493117371748,0.016263035196784813,-0.030971962269724762,-0.008602864181408522,0.02236909808831624
alat50_diff,residential,1896.0,-7.5401190627838615,-7.1498317826785875,4.315567911256651,-12.860074164057195,-3.392443912635204,9.46763025142199
alat80_diff,residential,1896.0,-19.302704800726687,-18.303569363657182,11.047853852817026,-32.92178985998642,-8.68465641634612,24.237133443640296
alat110_diff,residential,1896.0,-36.49417626387388,-34.60518582816435,20.887348690482188,-62.242758954036816,-16.41942853715438,45.823330416882435
diff_r_min,secondary,456.0,51411326.86047295,53355790.642426744,16738097.052750349,40972638.67767515,66242461.623015106,25269822.945339955
diff_kappa_max,secondary,456.0,-0.019144688729450157,-0.014180747478820338,0.015833275813815287,-0.028300945109985327,-0.006582815473038668,0.021718129636946658
alat50_diff,secondary,456.0,-6.558987779363352,-5.307422523866951,4.279163332102438,-11.07498834477859,-2.8769490726623874,8.198039272116203
alat80_diff,secondary,456.0,-16.79100871517018,-13.587001661099393,10.954658130182239,-28.35197016263319,-7.364989626015712,20.98698053661748
alat110_diff,secondary,456.0,-31.745500852118614,-25.687925015516036,20.711150527375796,-53.602943588728365,-13.924433511685953,39.67851007704241
diff_r_min,service,1247.0,50849444.211817026,54875566.31230707,17972728.024843667,38252580.086596,66591720.246548474,28339140.159952477
diff_kappa_max,service,1247.0,-0.026092938999728088,-0.022999905742273632,0.01710190325393481,-0.03746452075039865,-0.011904772348839587,0.02555974840155906
alat50_diff,service,1247.0,-8.70449900059311,-9.756235203478582,4.211763841620131,-12.860078160362757,-4.785361226284579,8.074716934078179
alat80_diff,service,1247.0,-22.28351744151836,-24.975962120905166,10.782115434547535,-32.921800090528656,-12.250524739288522,20.671275351240133
alat110_diff,service,1247.0,-42.12977516287065,-47.22017838483632,20.38493699344143,-62.242778296155734,-23.16114833521736,39.08162996093837
diff_r_min,tertiary,766.0,50222614.118951365,53753565.45642278,18154699.975935515,36518586.732085355,66832975.0110249,30314388.278939545
diff_kappa_max,tertiary,766.0,-0.017760808135217476,-0.013352592141202279,0.014889586553997516,-0.025288009945383425,-0.006043826043451867,0.01924418390193156
alat50_diff,tertiary,766.0,-6.274586789601836,-5.169327513109341,4.056223488737866,-9.7803495721654,-2.7142854335166344,7.066064138648766
alat80_diff,tertiary,766.0,-16.0629421813807,-13.233478433559913,10.383932131168939,-25.03769490474342,-6.948570709802585,18.089124194940837
alat110_diff,tertiary,766.0,-30.369000061672878,-25.01954516344921,19.63212168549127,-47.33689192928052,-13.137141498220508,34.19975043106001
diff_r_min,trunk,20.0,54807797.682718314,57977721.023231,13134489.553808097,48815387.02152564,64969918.97291329,16154531.951387651
diff_kappa_max,trunk,20.0,-0.023418696269274623,-0.023675777221385537,0.016663364237640903,-0.03637934315715218,-0.007096465188071981,0.0292828779690802
alat50_diff,trunk,20.0,-7.809544801992482,-8.858592425599536,4.527373518206397,-11.507422900039172,-3.733550757545637,7.773872142493535
alat80_diff,trunk,20.0,-19.992434693100744,-22.67799660953481,11.590076206608375,-29.45900262410028,-9.55788993931683,19.90111268478345
alat110_diff,trunk,20.0,-37.79819684164359,-42.87558733990174,21.912487828118955,-55.69592683618958,-18.070385666520878,37.6255411696687
diff_r_min,unclassified,1074.0,51601138.83954386,55990623.92911145,18149406.59644814,39509560.96298514,67551838.82351816,28042277.860533014
diff_kappa_max,unclassified,1074.0,-0.017212127426122905,-0.013661260727002356,0.01328390183166798,-0.023184071957189217,-0.007446971349231304,0.015737100607957914
alat50_diff,unclassified,1074.0,-6.5968050169590775,-5.634913739853968,3.9339263477850213,-10.016338621451899,-3.2720470997563,6.744291521695599
alat80_diff,unclassified,1074.0,-16.887820843415234,-14.425379174026158,10.070851450329654,-25.64182687091686,-8.376440575376128,17.26538629554073
alat110_diff,unclassified,1074.0,-31.92853628208193,-27.2729825008932,19.040203523279498,-48.47907892782718,-15.836707962820489,32.64237096500669
